epoch,train_acc,val_acc,train_loss,val_loss
1,0.18571428571428572,0.2,1.6306753601346697,1.6049083630243937
2,0.15714285714285714,0.2,1.625099458013262,1.6074782212575276
3,0.2,0.2,1.6123949902398245,1.6059856494267781
4,0.2714285714285714,0.2,1.6044636487960815,1.597426962852478
5,0.24285714285714285,0.26666666666666666,1.5943044934953963,1.5778407812118531
6,0.4,0.4,1.5498999323163714,1.5126174529393515
7,0.4714285714285714,0.5333333333333333,1.3970286641802108,1.2746874729792277
8,0.6142857142857143,0.5333333333333333,1.0715847560337612,1.076066776116689
9,0.6428571428571429,0.7333333333333333,0.9986238428524562,1.0922397057215372
10,0.6714285714285714,0.8666666666666667,0.9451345835413252,0.6415807008743286
11,0.8285714285714286,0.7333333333333333,0.5114172850336347,0.5481466988722483
12,0.9142857142857143,0.8666666666666667,0.36169222380433763,0.5650275429089864
13,0.8142857142857143,0.8,0.4629805198737553,0.5018897732098897
14,0.7857142857142857,0.5333333333333333,0.6922586070639747,0.9762750784556071
15,0.7428571428571429,0.4666666666666667,0.9139423481055668,0.969771925608317
