epoch,train_acc,val_acc,train_loss,val_loss
1,0.4714285714285714,0.4666666666666667,1.315745278767177,1.134760860602061
2,0.7714285714285715,0.6666666666666666,0.5998488341059004,0.8439547220865885
3,0.8571428571428571,0.6,0.479057525736945,1.8901615301767984
4,0.7428571428571429,0.7333333333333333,0.8352865039770092,0.9410640478134156
5,0.8285714285714286,0.6,0.3858764980520521,1.0109270811080933
6,0.8857142857142857,0.8666666666666667,0.3881992989352771,0.4532333552837372
7,0.8571428571428571,0.8666666666666667,0.39430987409182955,0.40607415239016215
8,0.8428571428571429,0.7333333333333333,0.3380495058638709,0.9393731514612834
9,0.9428571428571428,0.8,0.16853324813502177,0.49630798896153766
10,0.8714285714285714,0.8666666666666667,0.40485181318862096,0.3856589530905088
11,0.9142857142857143,0.7333333333333333,0.2530730060168675,0.5420484900164108
