epoch,train_acc,val_acc,train_loss,val_loss
1,0.35714285714285715,0.4666666666666667,1.4010726622172764,1.1769872725009918
2,0.7,0.2,0.761980185338429,7.153320725758871
3,0.7571428571428571,0.5333333333333333,0.5851077931267875,1.323987066745758
4,0.8142857142857143,0.7333333333333333,0.5296774789690971,0.9711148977279663
5,0.8571428571428571,0.8666666666666667,0.33954421366964066,0.5307503898938497
6,0.9,0.7333333333333333,0.24834640324115753,0.9755880832672119
7,0.9285714285714286,0.6666666666666666,0.20380485866750989,0.9828414996465047
8,0.8428571428571429,0.8666666666666667,0.505572310090065,0.5449654002984364
9,0.8857142857142857,0.6,0.32244450875691005,1.5102679503460725
10,0.8142857142857143,0.8,0.4694913868393217,0.6299624214569728
